Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Occupation_Label,Total_Expense,Total_Potential_Savings,Effective_Income,Overspending,Predicted_Expense
23756,59,4,3,1,4751,0,537,2635,1579,597,1039,1446,1068,2353,325,6,1502,7421,597,234,134,290,358,17,88,56,,16330,3548,8923,True,17097.664941595758
18538,46,1,0,1,3707,3359,874,2506,1186,729,409,946,746,1722,294,9,1734,2054,265,183,106,122,203,36,78,46,,16478,2078,3788,True,14980.813902313745
132028,56,2,2,2,19804,0,4383,15998,7954,5733,4929,6807,5860,8512,2002,18,24469,50041,904,699,1558,691,750,62,412,308,,81982,10768,74510,True,83774.32945525166
29677,39,0,1,0,8903,2892,1002,3838,1959,769,1051,1756,1046,0,397,5,1527,6059,247,272,224,173,418,20,0,106,,23613,2920,7586,True,23936.206091761487
12871,46,2,1,1,2574,0,396,1841,1013,281,564,877,556,1265,347,8,1139,3153,247,227,69,50,231,24,47,81,,9714,1952,4292,True,8681.588169309649
57929,63,1,1,1,11585,0,2686,6416,3010,1164,2301,3995,1886,5289,772,13,7631,18820,1643,786,117,636,808,89,14,161,,39104,8508,26451,True,40200.56334358068
11296,27,2,1,1,2259,0,380,1382,763,553,456,701,503,804,202,8,979,3287,307,98,28,73,67,13,9,60,,8003,1310,4266,True,7036.730293385026
35455,37,4,0,2,5318,2757,715,4322,2783,951,1212,2596,1666,1978,976,5,2043,10177,833,148,199,110,301,6,39,260,,25274,3792,12220,True,27157.68552645176
6255,33,3,2,1,1251,867,300,841,457,234,301,459,244,380,123,6,401,793,100,107,19,32,81,2,9,7,,5457,714,1194,True,4051.7456410396962
10367,23,0,3,2,1555,736,510,1072,763,292,237,787,468,0,106,6,653,3837,142,189,31,32,177,13,0,10,,6526,1188,4490,True,5638.07313792769
35117,34,0,1,0,10535,0,1157,3839,2433,1225,905,2256,1563,0,1015,5,1886,10184,1009,457,176,163,188,61,0,256,,24928,4620,12070,True,26421.517457563863
54161,23,4,2,0,16248,5389,1791,6609,4218,1305,2483,3827,1742,4771,599,10,5174,5174,597,499,97,573,199,41,100,143,,48982,4498,10348,True,48521.172421381576
34408,39,2,2,1,6881,0,706,4377,2682,1174,821,2050,1117,3379,612,9,3155,10603,1070,594,252,46,333,32,48,92,,23799,4934,13758,True,24653.546043619554
27348,35,0,2,2,4102,0,712,2794,1792,1316,836,1834,1129,0,682,5,1532,12147,250,268,233,143,161,4,0,44,,15197,2206,13679,True,16936.507190487057
23578,49,1,2,1,4715,0,556,2880,1706,1147,492,1880,893,1435,669,9,2348,7199,740,221,95,26,528,37,65,114,,16373,3652,9547,True,16086.848091452299
9192,45,1,0,1,1838,1648,403,1204,732,299,299,696,390,880,257,9,542,542,136,136,72,73,76,4,35,70,,8646,1204,1084,True,7012.479859478648
16866,59,2,2,1,3373,2840,598,1801,1070,666,731,1038,584,1000,183,9,1627,2977,316,285,168,100,63,13,39,28,,13884,2024,4604,True,12702.307476208603
20752,27,1,0,2,3112,0,595,2533,1260,813,1008,1548,778,1985,525,8,1708,6590,671,104,182,56,356,32,23,33,,14157,2914,8298,True,14016.355198782894
69888,58,3,0,0,20966,0,3336,9572,3724,2735,2271,2813,2620,6124,1935,13,9335,13785,1239,845,610,179,584,26,302,516,,56096,8602,23120,True,55682.13048512922
39491,39,4,1,1,7898,0,1555,4126,2765,1423,922,1731,1322,2299,595,7,3015,14851,895,665,139,239,314,0,2,57,,24636,4622,17866,True,27276.90868255541
7321,45,0,3,1,1464,674,352,959,396,241,161,576,285,0,76,6,498,2133,73,76,56,44,72,4,0,21,,5184,692,2631,True,3746.3760064699345
38879,32,4,3,1,7775,0,1074,4633,2588,983,1420,2168,1411,2562,1042,5,2206,13218,515,741,232,82,299,21,101,145,,25656,4272,15424,True,28440.572797641074
22046,60,2,2,1,4409,2490,1013,2701,1142,821,894,1267,671,1918,242,6,1343,4473,300,176,238,64,83,31,77,43,,17568,2024,5816,True,17330.912228546997
17455,46,4,2,0,5236,0,796,2060,1393,365,382,774,821,1605,274,6,1066,3743,309,139,105,54,47,39,52,58,,13706,1606,4809,True,13434.984690733556
48937,24,0,3,2,7340,6173,2295,5099,3419,2342,2009,2740,2284,0,1077,11,5504,14153,1298,759,190,599,536,80,0,319,,34778,7562,19657,True,35553.67855158386
68442,51,0,3,1,13688,9243,3047,8891,3535,3298,2383,4927,2414,0,1400,13,9241,15611,646,835,477,393,817,26,0,395,,52826,7178,24852,True,52493.92299081356
63194,49,2,0,1,12638,0,2792,7662,4519,3080,2395,3687,2341,5067,1221,13,8238,17787,905,355,319,698,220,55,40,85,,45402,5354,26025,True,46269.90933198988
15330,19,0,2,1,3066,0,697,2176,1046,336,738,682,757,0,300,9,1406,5528,283,237,61,182,87,14,0,86,,9798,1900,6934,True,9126.018348269006
23425,43,1,3,0,7027,2226,1098,3200,1660,736,599,1763,1032,2095,504,7,1480,1480,454,343,41,101,150,13,46,100,,21940,2496,2960,True,20812.817040170306
39103,62,4,3,1,7820,0,1279,5043,2907,1609,924,2894,1800,3364,456,5,2217,11002,1217,621,365,273,405,75,48,96,,28096,6200,13219,True,30288.14712433652
65472,28,3,0,1,13094,0,1739,7322,4659,1770,3042,3519,2326,5264,1497,13,8984,21235,1730,261,146,484,374,99,241,431,,44232,7532,30219,True,45732.13894971514
20447,42,3,1,1,4089,0,453,2541,1126,905,857,1251,951,1830,497,5,1083,5942,528,251,185,110,124,44,52,96,,14500,2780,7025,True,14866.19050332726
25859,36,3,0,1,5171,0,730,3591,1500,700,736,1792,1201,1539,359,9,2417,8534,476,236,166,38,97,35,34,37,,17319,2238,10951,True,17736.232466192796
12380,37,2,3,2,1857,1610,568,1310,688,261,305,918,601,927,204,9,1133,3125,179,39,58,46,207,14,20,42,,9249,1210,4258,True,8190.716685060499
11521,50,3,2,1,2304,1912,575,1220,821,340,483,906,558,721,238,5,640,1439,327,136,28,108,136,23,15,41,,10078,1628,2079,True,9000.511042952401
57467,34,4,1,1,11493,8786,1878,6376,3566,1853,1270,3999,2054,3769,592,10,5901,11826,574,825,546,90,603,51,71,88,,45636,5696,17727,True,46568.47352026243
88782,47,0,0,0,26634,0,3022,12812,4607,2448,2167,3851,4132,0,1782,11,10652,27322,3460,317,453,623,455,185,0,433,,61455,11852,37974,True,64475.03098283034
28320,35,1,1,0,8496,0,900,3552,1829,1018,1358,1487,1083,1559,408,7,2243,6627,196,381,194,302,351,21,53,59,,21690,3114,8870,True,21661.82317574152
66955,49,3,1,1,13391,12898,2445,9963,4248,2279,2558,4079,2548,5497,1952,13,5091,5091,731,1094,533,421,980,115,66,455,,61858,8790,10182,True,62152.894097383774
40065,57,3,0,0,12019,3437,1375,5780,2679,2000,864,1953,1895,2634,477,10,4090,4944,1151,522,208,258,103,11,33,116,,35113,4804,9034,True,34299.86586849693
17905,62,3,2,1,3581,0,725,1996,1385,845,861,1080,853,1159,303,7,1262,5110,411,210,70,98,137,8,47,41,,12788,2044,6372,True,12619.928446801816
40057,21,1,3,2,6008,6078,1131,5980,2974,1853,1286,2869,1609,3873,798,13,5259,5593,799,527,406,95,573,80,132,169,,34459,5562,10852,True,32730.375093769628
102680,49,4,3,1,20536,19761,3295,12785,7471,2304,4855,6328,3410,6922,1204,24,13805,13805,928,566,201,435,1535,106,294,232,,88871,8594,27610,True,87479.07131117354
29152,36,3,2,1,5830,0,935,4183,1637,859,1197,2319,931,2780,723,7,2310,7753,913,235,214,116,543,46,60,36,,21394,4326,10063,True,21908.956715743556
104890,20,0,1,0,31467,6756,3100,12984,8099,3415,3890,8022,5070,0,1187,17,18438,20895,3799,1621,745,365,1661,218,0,134,,83990,17086,39333,True,80681.70602280532
3689,55,2,2,0,1106,495,162,543,225,150,170,244,174,186,83,8,146,146,85,64,20,15,61,4,5,23,,3538,554,292,True,1840.4063869809343
57900,45,1,1,0,17370,11444,2096,7942,3662,2816,2288,4065,2260,3600,1202,13,0,-849,1571,906,834,636,1172,94,78,181,,58745,10944,-849,True,60427.2087550594
32163,55,4,0,1,6432,1904,1183,4065,1640,1491,725,1709,1217,2345,435,5,1805,9011,925,472,324,198,180,60,43,65,,23146,4534,10816,True,24669.61177567468
23617,23,0,1,1,4723,0,643,3188,1642,781,655,1328,744,0,359,7,1807,9551,367,377,164,81,315,6,0,104,,14063,2828,11358,True,14686.236588398013
32285,57,1,3,0,9685,3371,1056,3594,2527,655,780,1296,1181,3174,689,9,2963,4271,591,334,70,230,311,34,16,165,,28008,3502,7234,True,27086.96596427899
6117,34,1,3,1,1223,383,185,873,353,250,195,453,196,314,159,7,478,1529,165,54,57,29,29,1,13,43,,4584,782,2007,True,3056.1324539959387
25165,59,2,1,1,5033,3469,1188,2860,1424,1090,968,1988,1198,1757,259,6,1604,3926,711,275,98,245,545,12,24,30,,21234,3880,5530,True,20872.46550751986
39920,22,2,3,1,7984,7102,843,5176,2228,1878,1142,2105,1930,2590,860,5,2386,6077,1167,170,514,77,617,7,104,134,,33838,5580,8463,True,34476.95489292343
97857,36,4,2,1,19571,0,2470,14635,5794,2144,4002,4257,2988,9185,1921,10,10239,30885,3005,1190,135,298,1040,7,18,513,,66967,12412,41124,True,72323.32888998525
19817,60,3,1,0,5945,1710,789,2034,1433,860,927,1211,909,1872,571,5,1183,1551,176,261,150,226,285,39,88,151,,18261,2752,2734,True,17359.60504441192
15711,59,2,2,1,3142,1266,599,1706,1182,444,591,899,749,1026,294,9,1555,3808,169,309,101,76,219,9,32,55,,11898,1940,5363,True,10906.918575953907
20081,52,4,3,1,4016,0,832,2697,1445,943,674,920,788,1878,566,9,1931,5318,775,185,172,56,86,33,57,109,,14759,2946,7249,True,14423.037067276382
62397,39,1,2,2,9359,8081,1332,8226,3698,2269,1919,4147,2241,5064,1560,13,8341,14494,2216,374,349,533,317,89,249,228,,47896,8710,22835,True,47671.06129368067
39024,41,3,1,0,11707,4031,1813,5315,2716,1061,1038,2710,1789,2707,772,5,2001,3360,288,398,198,94,767,80,11,86,,35659,3844,5361,True,35926.348608552405
19636,27,0,2,1,3927,0,941,1982,1337,958,512,981,728,0,212,7,1411,8053,493,299,186,45,256,27,0,36,,11578,2684,9464,True,11838.487132346942
45232,19,1,2,0,13569,7866,1965,6066,2926,2231,1125,3237,1634,3858,1272,10,0,-522,1595,791,663,185,820,3,131,266,,45749,8908,-522,True,46688.25315103975
32422,45,4,3,1,6484,0,818,4768,2125,1548,1095,1834,1376,1918,932,6,2150,9519,254,620,309,195,284,34,51,260,,22898,4014,11669,True,24322.353043891348
65112,58,0,3,0,19533,4564,2843,7816,4281,2278,3059,3422,2382,0,1480,12,8192,13449,1783,393,433,475,443,116,0,436,,51658,8158,21641,True,51314.783905615914
17108,54,1,1,0,5132,3202,504,2130,948,383,693,748,679,1619,487,6,579,579,629,231,77,204,129,25,49,89,,16525,2866,1158,True,15397.701270893307
23082,34,2,1,1,4616,3961,566,3116,1796,938,604,1103,1060,1863,426,5,1225,3027,891,112,246,83,271,34,76,26,,20049,3478,4252,True,19619.04840007274
21922,23,4,3,1,4384,0,491,3157,1536,1020,600,1666,686,1602,510,7,1731,6266,571,297,157,146,249,29,34,94,,15652,3154,7997,True,15858.66640162237
9303,60,0,0,1,1860,486,199,1280,715,399,233,550,440,0,103,7,695,3032,193,120,36,34,78,10,0,25,,6265,992,3727,True,5035.7474165992935
38019,22,2,3,1,7603,3488,1721,5630,2250,1505,904,3024,1354,3210,964,5,2070,6362,1234,537,173,184,580,25,37,262,,31653,6064,8432,True,32471.18050506726
36967,56,0,0,1,7393,6914,1674,5063,2305,1371,1723,2410,1839,0,595,7,2932,5675,1160,655,179,119,154,40,0,139,,31287,4892,8607,True,30944.159358057605
30122,24,3,2,1,6024,0,632,3443,1815,1467,1172,1319,954,2047,858,5,1798,10386,827,256,420,320,222,41,43,159,,19731,4576,12184,True,21382.074505580043
24866,49,3,1,0,7459,4433,1031,3600,1877,1225,689,1649,1020,2083,388,6,0,-591,189,468,282,68,201,28,66,58,,25454,2720,-591,True,25222.94993128017
9668,21,4,2,1,1933,1198,267,1212,654,380,283,436,320,515,184,7,743,2281,115,73,24,49,58,13,2,10,,7382,688,3024,True,6470.140161473697
21427,38,0,2,1,4285,0,571,3126,1220,600,652,1575,717,0,398,9,2088,8278,330,153,87,175,126,21,0,98,,13144,1980,10366,True,13071.383481544322
22806,59,3,3,1,4561,0,840,2355,1488,751,882,1648,833,1704,659,9,2127,7081,585,367,159,90,423,30,43,192,,15721,3778,9208,True,15750.176237899905
15789,49,1,1,0,4736,0,532,2090,1051,407,618,799,746,958,409,7,1227,3438,471,119,115,63,66,28,24,25,,12346,1822,4665,True,11394.166875135796
26368,35,1,0,0,7910,0,677,2654,1995,692,657,1840,1309,1767,390,6,1712,6473,545,494,78,140,155,40,63,105,,19891,3240,8185,True,20086.53374039079
41447,50,3,3,0,12434,0,836,4455,2401,1092,1572,2866,1565,3841,932,14,5835,9450,588,408,295,455,274,12,150,233,,31994,4830,15285,True,31146.05926649203
135659,31,3,3,0,40697,17920,4025,15621,7877,2747,3480,7084,5110,8475,3471,16,19147,19147,3719,1209,417,1016,809,9,214,216,,116507,15218,38294,True,114646.26128230343
34496,23,4,2,2,5174,0,1109,4724,1872,693,707,2225,1450,1892,882,7,2666,13762,812,259,74,189,325,46,3,88,,20728,3592,16428,True,23026.50191724283
36864,28,4,0,2,5529,2290,1262,4459,1998,1623,992,1489,1460,2615,477,7,2849,12663,350,205,151,157,271,53,12,93,,24194,2584,15512,True,26228.422396353213
28265,63,1,3,1,5653,4804,911,3452,1499,955,1234,1553,990,2206,643,9,2798,4358,748,322,232,322,179,15,34,132,,23900,3968,7156,True,22849.35121990924
6463,37,2,1,0,1939,0,203,741,327,135,284,298,223,559,124,7,497,1626,123,80,25,41,36,1,20,35,,4833,722,2123,True,3459.0652948993356
29370,46,0,0,2,4405,0,1436,4175,1664,1318,719,1307,1422,0,301,5,1515,12618,1010,216,211,198,214,48,0,49,,16747,3892,14133,True,18748.100704445988
31480,52,2,3,1,6296,1934,1498,4664,1817,1063,1149,2112,1041,2379,428,6,2155,7095,841,174,259,78,629,49,113,80,,24381,4446,9250,True,24859.814657336632
215248,33,4,2,0,64574,0,6831,32106,14442,6799,8137,9135,7191,20390,5644,23,39994,39994,9206,752,1233,828,2536,24,345,1065,,175249,31978,79988,True,168790.4436008799
25721,24,2,3,1,5144,3770,1240,3243,1489,536,852,1138,1164,2467,392,5,1513,4282,740,236,34,207,77,33,50,32,,21435,2818,5795,True,21300.136199075867
38184,57,4,0,1,7636,2561,863,3902,2969,1166,1648,2375,1893,3338,1050,9,3705,8777,792,452,120,124,137,87,63,313,,29401,4176,12482,True,29858.236272008486
29178,53,2,2,0,8753,0,594,3061,1498,597,1320,2204,919,2116,325,7,2201,7785,619,116,164,74,145,7,13,92,,21387,2460,9986,True,21856.513701592634
11778,61,1,3,0,3533,0,352,1691,739,286,437,769,544,1014,162,8,1059,2246,135,171,19,77,52,0,29,10,,9527,986,3305,True,8111.425833435904
74847,61,4,0,1,14969,0,1912,9718,4131,2628,1533,3804,3031,5526,2170,12,9127,25420,2326,268,700,112,1021,24,218,278,,49422,9894,34547,True,52621.47355778051
54748,48,1,0,0,16424,0,2251,5969,2810,1797,2646,4017,1720,4873,556,13,7191,11679,1126,777,181,472,1204,16,154,131,,43063,8122,18870,True,42439.95608555972
56487,59,2,2,0,16946,6499,2191,7164,3471,1247,1534,3358,2733,3693,1567,12,6079,6079,1265,930,218,253,334,91,37,183,,50403,6622,12158,True,49385.13416779076
14493,61,3,2,0,4347,0,713,1895,1017,307,512,642,457,1034,220,8,1271,3343,335,157,79,32,146,10,0,55,,11144,1628,4614,True,10282.979960154638
92151,60,3,1,2,13822,0,3927,13165,7110,3629,2986,7156,3907,8200,2309,14,12945,25936,2678,1952,763,191,1547,55,35,495,,66211,15432,38881,True,67753.49486876393
9773,60,0,1,1,1954,0,311,1300,498,250,289,532,414,0,128,8,830,4094,98,100,18,66,62,14,0,33,,5676,782,4924,True,4649.811159686645
47975,64,3,3,1,9595,4989,1346,5957,3559,2305,1266,3437,2070,4561,645,12,5757,8240,792,418,583,244,871,57,85,185,,39730,6470,13997,True,39055.46313615568
173046,23,0,1,1,34609,0,3743,22522,9437,6470,7193,12142,7967,0,4602,23,40421,64356,5875,1075,761,1108,3536,180,0,1047,,108685,27164,104777,True,104891.71995178473
13582,46,2,1,1,2716,0,379,1449,833,331,318,887,610,1210,208,6,877,4636,332,98,53,23,169,12,23,52,,8941,1524,5513,True,8535.053722796267
19070,44,0,2,1,3814,0,485,2140,1324,803,876,1024,614,0,430,7,1429,7557,606,245,68,165,240,22,0,47,,11510,2786,8986,True,11573.909357415347
32489,60,0,3,0,9746,3646,1467,4108,1897,1407,1330,2311,1434,0,438,7,2394,4700,869,431,407,351,506,61,0,129,,27784,5508,7094,True,27283.513389672557
20053,19,0,0,1,4010,0,597,2219,1550,775,764,1523,611,0,477,5,1058,7522,615,208,128,66,179,15,0,108,,12526,2638,8580,True,12945.99736820847
8676,39,1,2,0,2603,1185,351,1295,573,361,320,680,406,829,96,7,0,-26,165,161,18,41,186,19,14,13,,8699,1234,-26,True,7290.096167706497
31691,26,0,0,1,6338,0,1249,4038,2178,1539,1069,1692,1174,0,629,5,1768,11780,397,394,248,145,180,7,0,123,,19906,2988,13548,True,21676.433145984996
12824,28,4,1,2,1923,0,279,1374,711,331,306,802,578,1209,201,5,675,5105,244,106,22,21,57,27,29,41,,7714,1094,5780,True,7788.63204658874
43819,33,2,1,0,13145,3113,906,6403,2775,1924,1718,3138,1676,4273,602,11,4140,4140,888,786,489,417,830,68,128,114,,39673,7440,8280,True,38764.00271200918
14377,62,1,1,1,2875,0,479,1947,719,467,432,1145,432,1333,151,6,935,4392,380,126,67,39,156,8,59,36,,9980,1742,5327,True,9384.99095554815
103662,30,4,0,0,31098,0,4952,10567,6750,3463,4568,6077,4240,7266,1527,22,23148,23148,1785,1946,428,1350,310,109,112,157,,80508,12394,46296,True,74688.9283328226
16032,35,2,3,2,2404,0,628,1894,1039,620,549,777,606,1182,332,7,1234,5994,154,154,146,114,93,30,47,18,,10031,1512,7228,True,9887.788704474753
23185,42,1,2,1,4637,0,1059,2812,1430,751,876,1755,861,1436,394,9,2262,7170,670,360,65,71,250,38,29,41,,16011,3048,9432,True,15758.861392509833
57513,50,2,1,2,8626,0,1226,7273,3900,1235,2551,4158,2170,3738,1205,12,7209,21425,367,1152,78,443,1129,28,146,97,,36082,6880,28634,True,38271.76981783919
11206,27,3,1,1,2241,935,351,1297,812,256,331,853,500,687,288,6,701,2650,386,196,61,41,88,18,10,38,,8551,1676,3351,True,7741.441778149547
35987,47,2,3,0,10796,2368,783,4897,1858,1518,930,1512,1351,2104,980,9,3568,6884,1321,484,321,136,350,40,90,195,,29097,5874,10452,True,28782.88226268318
85362,18,3,2,2,12804,12629,2580,10867,4970,2204,3397,4128,3926,4693,1354,13,11411,21806,2838,461,123,941,1150,32,34,147,,63552,11452,33217,True,64744.786838352826
8291,50,3,3,1,1658,480,236,848,452,253,382,433,274,660,135,6,505,2475,48,79,30,103,90,2,23,24,,5811,798,2980,True,4885.381869069938
34775,32,2,3,1,6955,0,1656,3614,2013,835,1581,2233,1135,2444,887,5,2025,11417,1079,305,157,114,286,16,53,82,,23353,4184,13442,True,25285.669012285434
36932,46,3,1,1,7386,0,1645,4300,2023,1265,1809,2737,1145,2817,976,5,2178,10825,1177,133,261,539,193,36,69,93,,26103,5002,13003,True,28023.144302203767
56073,19,1,1,0,16821,0,2477,7433,4153,1370,1855,4034,2155,5009,1162,11,6447,9599,2168,225,326,364,279,58,203,62,,46469,7370,16046,True,45973.389120537875
11152,28,3,3,1,2230,0,231,1476,577,541,478,591,483,951,304,8,942,3285,358,93,101,74,37,22,25,24,,7862,1468,4227,True,7033.417114804715
10431,51,0,0,1,2086,0,367,1140,560,515,509,739,495,0,107,5,522,3908,91,125,109,37,121,1,0,27,,6518,1022,4430,True,5726.2298741349605
45547,58,1,1,2,6832,6775,1043,6587,3100,1100,1788,2958,2267,2380,643,13,6086,10070,1853,191,209,287,152,69,81,128,,35473,5940,16156,True,34624.10474435342
38045,36,1,2,0,11413,0,1748,4782,3036,1479,1326,2029,1758,3335,871,8,3195,6263,971,625,254,134,144,16,14,260,,31777,4836,9458,True,31603.55021349526
36656,19,1,1,1,7331,0,1230,4729,2844,1682,1551,1608,1734,2019,1013,9,3551,10910,578,569,453,262,144,0,78,178,,25741,4524,14461,True,26426.649106659275
39581,37,0,0,2,5937,7755,907,5520,2709,1341,1009,2593,1809,0,547,7,2882,9450,468,709,333,202,137,16,0,105,,30127,3940,12332,True,30988.62652167668
17412,58,0,0,0,5223,0,862,1841,1078,355,608,1141,791,0,356,8,1500,5151,508,62,100,129,130,30,0,68,,12255,2054,6651,True,11523.465753062363
36125,48,0,3,0,10837,0,1034,4558,2225,789,1356,1644,1168,0,902,7,2771,11607,1286,142,111,403,219,7,0,256,,24513,4848,14378,True,25773.664303673635
37926,21,0,3,0,11378,6955,985,5111,2881,1501,1535,2969,1463,0,472,8,2672,2672,994,583,123,273,339,11,0,36,,35250,4718,5344,True,34417.772432454265
16940,46,0,0,1,3388,0,625,1867,864,673,416,715,622,0,405,7,1312,7361,467,172,162,90,139,9,0,114,,9575,2306,8673,True,9531.075968607725
133462,47,4,2,1,26692,0,4609,14502,7832,5264,3892,9100,5425,11095,3146,16,22392,41901,4263,1974,332,503,1361,238,552,454,,91557,19354,64293,True,93132.73588236573
43827,30,4,3,2,6574,0,1237,6434,2376,1579,1272,3447,1791,4035,608,11,4949,14469,1641,533,145,300,436,71,37,125,,29353,6576,19418,True,30761.49307693631
11566,32,0,0,1,2313,0,487,1607,649,557,392,783,539,0,285,9,1083,3951,385,190,139,60,49,5,0,26,,7612,1708,5034,True,6506.384054268638
50726,37,1,2,1,10145,0,1455,5140,2657,2049,1735,3513,1641,3268,1209,10,5144,17911,1106,497,554,504,280,68,112,216,,32812,6674,23055,True,35054.333368587904
